Normlaization,Regressing out,Points,Feature Selection,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,All,1,Linear,80/20,-0.15005279272545669,3.8138811024469113
Rg w/no norm,No regr out,Inliers,1,Linear,80/20,0.7012199644203387,0.7436571584187159
Rg w/no norm,No regr out,All,1,Ridge,80/20,-0.09974983894380607,3.729539531718576
Rg w/no norm,No regr out,Inliers,1,Ridge,80/20,0.6776747428664072,0.7724033423130704
Rg w/no norm,No regr out,All,1,Lasso,80/20,-0.10447693239949873,3.737546342499729
Rg w/no norm,No regr out,Inliers,1,Lasso,80/20,0.6439185438517685,0.8118422592189148
Rg w/no norm,No regr out,All,1,Kernel Ridge,80/20,-0.6581889980140043,4.5795760557038765
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,80/20,-3.689183293516985,2.946087083270099
Rg w/no norm,No regr out,All,1,GPR,80/20,-1.0136357990127647,5.046598138443246
Rg w/no norm,No regr out,Inliers,1,GPR,80/20,-4.16894214276968,3.0931274203829027
Rg w/no norm,No regr out,All,1,Linear,85/15,-1.6130547178942942,2.642596161797723
Rg w/no norm,No regr out,Inliers,1,Linear,85/15,0.739705571855406,0.7353195883405255
Rg w/no norm,No regr out,All,1,Ridge,85/15,-0.3347360603136418,1.8886620105052183
Rg w/no norm,No regr out,Inliers,1,Ridge,85/15,0.7079894378276352,0.7788305520427679
Rg w/no norm,No regr out,All,1,Lasso,85/15,-0.3387815290294507,1.891522030033555
Rg w/no norm,No regr out,Inliers,1,Lasso,85/15,0.6754400505739044,0.8210907564955429
Rg w/no norm,No regr out,All,1,Kernel Ridge,85/15,-3.127331626535468,3.321170950002204
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,85/15,-3.806986132052292,3.159949442106125
Rg w/no norm,No regr out,All,1,GPR,85/15,-3.614008613202869,3.511524867540199
Rg w/no norm,No regr out,Inliers,1,GPR,85/15,-4.826640328119304,3.478986990615786
Rg w/no norm,No regr out,All,1,Linear,90/10,-0.29217685367844437,2.056970991927943
Rg w/no norm,No regr out,Inliers,1,Linear,90/10,0.7129770181012538,0.7953481110442677
Rg w/no norm,No regr out,All,1,Ridge,90/10,0.25479170172616494,1.5620899189060893
Rg w/no norm,No regr out,Inliers,1,Ridge,90/10,0.6862147412464141,0.8316013515549383
